makan_pagi,makan_siang,makan_malam,snack_1,snack_2,total_natrium,derajat
Telur orak-arik,Bakso aci,Ampela goreng ,Mentimun serut,Apel fuji,687.1,2
Laksa palembang,Ayam cincang buncis,Terong goreng,Klepon,Kue bawang,689.0,2
Kupat tahu,Ikan lele panggang,Nasi goreng kunyit,Durian,Es krim,686.0,2
Kwetiau udang sambal rujak,Steak daging sapi,Ikan belida bakar,Susu,Jus jeruk,799.3,2
Tumis pakcoy,Pepes bandeng presto,Sate bandeng,Manggis,Duku,791.4,2
Pindang patin,Tuna bumbu pepes,Saboko gurita,Putu mayang,Pastel ,789.0,2
Tumis genjer,Tekwan,Saboko gurita,Kelengkeng,Semangka,605.0,2
Urap,Bebek bakar,Rendang,Putu mayang,Jus semangka,688.0,2
Nasi liwet,Cumi hitam,Sayur rica rodoh,Sari seledri campur,Nangka,723.8,2
Nasi liwet,Ikan mujair goreng,Tahu bumbu kukus,Salak,Tahu isi,713.9,2
Rawon,Cap cay sayur,Sayur rica rodoh,Rambutan,Es krim,608.8,2
Dendeng sapi,Ayam masak merah,Tempe kukus cabe hijau,Getuk kacang hijau,Jus alpukat ,769.5,2
Ayam goreng,Garang asem ayam,Sambal udang,Asinan bengkuang nanas,Bakpia,759.6,2
Soto betawi ,Nasi hijau harum,Makaroni bumbu merah,Cilok,Kue nagasari,641.0,2
Nasi ciprat,Bakso aci,Tuna sambal woku,Manggis,Pie susu,791.2,2
Sayur pakis,Udang goreng ,Sayur rica rodoh,Pisang ,Apel fuji,712.8,2
Bubur kacang hijau,Asem-asem kangkung,Jengkol balado,Jus mentimun jambu,Nangka,308.5,3
Soto bandung,Tahu cabe garam,Nasi goreng kunyit,Pisang panggang saus kurma,Es doger,341.5,3
Ikan mas goreng,Terong bakar,Tumis kapri manis,Rujak jeruk bali,Cireng isi ayam,362.2,3
Soto kudus,Tumis buncis wortel bintik,Pepes tongkol sambal dabu-dabu,Kue tapioka,Jus semangka,229.4,3
Tempe bacem,Karedok,Pepes tongkol sambal dabu-dabu,Jeruk,Jus alpukat ,241.8,3
Bubur ayam,Asem-asem kangkung,Sayur rica rodoh,Rujak pepaya alpukat,Semangka,293.6,3
Ikan bawal goreng,Ikan kuah kuning,Lumpia basah,Jus pepaya belimbing,Susu kedelai,349.20000000000005,3
Soto banjar,Ayam lada hitam,Terong goreng,Anggur ,Bluberi,367.0,3
Ikan mas goreng,Gudeg,Sambal udang,Jus stroberi,Buah delima ,312.0,3
Gado-gado,Ayam lada hitam,Tumis tahu kentang seledri,Susu,Pisang,394.0,3
Kacang panjang bumbu kuning,Ikan patin goreng,Orak arik bening soun,Anggur ,Kue pukis,259.0,3
Tuna bakar bumbu bali,Mie bakso,Pepes teri,Jus pepaya kayu manis,Jus wortel ,313.5,3
Nasi ciprat,Nasi rames,Sambal udang,Melon,Kue beras,373.2,3
Kacang panjang bumbu kuning,Bakso ikan,Gadon tahu jamur,Es kelapa muda,Onde-onde,371.4,3
Kwetiau udang sambal rujak,Nasi hijau harum,Kangkung bumbu kare,Jus apel,Wajik ,341.6,3
Soto kudus,Tumis pepaya muda,Tahu bumbu merah,Kurma,Sale pisang,364.3,3
Sayur pakis,Mie ayam,Tahu siksa,Jus mentimun jambu,Jus wortel ,322.3,3
Nasi ciprat,Ikan belanak goreng,Pecel ,Pisang ,Pisang,255.2,3
Gado-gado,Babat sapi,Sayur bobor,Kue bugis isi kacang hijau,Cempedak,268.0,3
Tempe bacem,Terong bakar,Makaroni bumbu merah,Es teler,Tape singkong,250.0,3
Nasi goreng tuna,Sambal goreng kentang,Ikan bandeng goreng,Pepaya,Buah delima ,376.7,3
Soto kudus,Karedok,Brengkes patin,Sari seledri campur,Buah delima ,363.0,3
Nasi ciprat,Terong bakar,Ayam panggang bumbu bacem,Manggis,Kue sus,384.9,3
Bubur ketan hitam,Pepes bandeng presto,Tumis ikan tongkol,Mangga,Tahu gejrot,285.4,3
Gado-gado,Ayam cincang buncis,Sayur siram bumbu tumis,Jambu biji ,Ronde,389.1,3
Teri basah goreng renyah,Terong bakar,Ampela goreng ,Jus belimbing berembun,Onde-onde,380.6,3
Ikan kembung balado,Babat sapi,Tempe pesmol,Sari seledri timun,Es buah,393.5,3
Sayur asem,Ikan panggang siram acar,Pepes tongkol sambal dabu-dabu,Rujak pepaya alpukat,Sukun goreng,379.3,3
Soto kudus,Asem-asem kangkung,Tahu bumbu merah,Puding coklat,Nangka,340.3,3
Nasi bakar,Pepes bandeng presto,Tumis ikan tongkol,Es kelapa muda,Kue nastar,338.4,3
Bubur ketan hitam,Bakso aci,Tahu bumbu merah,Es kelapa muda,Jus jeruk,305.3,3
Bubur kacang hijau,Nasi hijau harum,Kari daging domba,Jus mangga,Pisang,337.0,3
Soto bandung,Tumis buncis wortel bintik,Pepes teri,Anggur ,Apel fuji,228.0,3
Soto daging ,Ikan panggang siram acar,Oseng tahu tomat,Rambutan,Kue nagasari,326.6,3
Pepes ayam,Ikan kuah kuning,Sayur nangka,Kurma,Mangga kweni,319.0,3
Bubur ketan hitam,Telur puyuh bumbu kuning,Gadon tahu jamur,Jus mentimun jambu,Martabak telur,306.5,3
Nasi pecel,Ayam masak merah,Sayur bobor,Sari buah tropika,Tape singkong,363.0,3
Kacang panjang bumbu kuning,Mie ayam,Sayur siram bumbu tumis,Jus nanas,Susu kedelai,359.6,3
Teri basah goreng renyah,Ayam lada hitam,Sayur bobor,Sari seledri campur,Bluberi,340.0,3
Ikan bawal goreng,Ikan patin goreng,Terong goreng,Talam ubi,Jus wortel ,246.3,3
Tumis daun pepaya,Terong bakar,Tumis kapri manis,Batagor,Cenil,398.5,3
Tuna bakar bumbu bali,Sayur bunga pepaya,Hati ayam goreng,Sari buah tropika,Martabak telur,342.2,3
Telur ceplok,Tumis buncis wortel bintik,Orak arik bening soun,Jeruk,Duku,212.5,3
Nasi uduk,Gudeg,Tumis tahu kentang seledri,Jus melon,Sukun goreng,369.0,3
Telur rebus,Tahu cabe garam,Gulai ikan ,Pir,Jus wortel ,378.0,3
Tumis daun pepaya,Telur puyuh bumbu kuning,Ayam kalasan,Mangga,Kue pancong,368.5,3
Perkedel kentang,Telur puyuh bumbu kuning,Sayur rica rodoh,Rujak jeruk bali,Sale pisang,349.6,3
Bubur kacang hijau,Ayam lada hitam,Tahu siksa,Sari seledri timun,Kue pukis,396.8,3
Bubur nasi,Ikan patin goreng,Terong goreng,Kelengkeng,Mangga kweni,251.0,3
Gado-gado,Ikan kuah kuning,Nasi goreng sayur,Jus stroberi,Yogurt,361.2,3
Bubur nasi,Babat sapi,Sayur siram bumbu tumis,Susu,Wajik ,389.1,3
Sayur pakis,Ceker mercon,Tumis ikan tongkol,Pisang bakar saus manis,Sale pisang,394.5,3
Ikan bawal goreng,Ayam rendang,Daun singkong bumbu iris,Kurma,Jus alpukat ,382.0,3
Tempe masak wijen,Nasi hijau harum,Pepes tongkol sambal dabu-dabu,Pepaya,Kue cucur,227.0,3
Tumis labu siam,Spageti,Tahu bumbu merah,Rujak pepaya alpukat,Sari apel,399.1,3
Kering tempe,Asem-asem kangkung,Pepes tongkol sambal dabu-dabu,Kue tapioka,Ronde,290.40000000000003,3
Perkedel kentang,Asem-asem kangkung,Tahu bumbu kukus,Buah naga,Martabak telur,392.9,3
Tuna bakar bumbu bali,Terong bakar,Ikan bandeng goreng,Melon,Sale pisang,313.2,3
Tumis pare,Pecel lele,Ikan bakar bumbu kecap,Jus Buah naga,Sawo,291.5,3
Telur dadar,Ayam lada hitam,Tempe pesmol,Jus wortel tomat,Kue beras,349.5,3
Tumis kol,Nasi hijau harum,Orak arik bening soun,Talam nangka,Jus wortel ,314.8,3
Ikan mas goreng,Sayur bunga pepaya,Tempe pesmol,Jambu biji ,Es krim,203.5,3
Nasi pecel,Sambal goreng kentang,Tempe kukus cabe hijau,Asinan bengkuang nanas,Pempek kapal selam,356.1,3
Nasi ciprat,Tempe orek,Tumis tahu kentang seledri,Es kuwut,Kue beras,308.2,3
Semur jengkol,Tempe penyet,Sayur rica rodoh,Kue bugis isi kacang hijau,Sukun goreng,313.8,3
Kacang panjang bumbu kuning,Rendang,Urab,Jus nanas,Bluberi,208.5,3
Tumis kacang panjang tempe,Ikan panggang siram acar,Pepes teri,Mentimun serut,Bluberi,397.8,3
Tumis pare,Asem-asem kangkung,Kerang asap,Asinan bengkuang nanas,Buah delima ,325.6,3
Lontong sayur,Ayam cincang buncis,Sayur bobor,Sari seledri campur,Jus jeruk,385.0,3
Semur jengkol,Tahu cabe garam,Tempe mendoan,Kelengkeng,Bubur sumsum,388.0,3
Nasi pecel,Sambal goreng kentang,Tumis tahu kentang seledri,Pepaya,Tahu walik,279.0,3
Soto bandung,Tumis buncis wortel bintik,Ikan bakar bumbu kecap,Jus stroberi,Buah delima ,261.5,3
Pindang patin,Sayur bunga pepaya,Ayam panggang bumbu bacem,Es teler,Ronde,367.7,3
Nasi kebuli,Asem-asem kangkung,Sayur siram bumbu tumis,Kurma,Sukun goreng,216.1,3
Sayur pakis,Bakso ikan,Sayur nangka,Rambutan,Kue pancong,322.0,3
Semur jengkol,Tuna bumbu pepes,Urab,Susu murni,Buah delima ,395.0,3
Telur orak-arik,Tumis pepaya muda,Mie rebus tauge,Getuk kacang hijau,Jus semangka,391.3,3
Rawon,Tumis pepaya muda,Tempe pesmol,Jus stroberi,Duku,301.5,3
Laksa palembang,Ikan patin goreng,Gadon tahu jamur,Sari buah tropika,Pisang,326.9,3
Gado-gado,Tumis pepaya muda,Sayur rica rodoh,Kue apem,Kue beras,362.8,3
Tuna bakar bumbu bali,Asem-asem kangkung,Nasi goreng sayur,Sari buah tropika,Tahu isi,379.4,3
Kacang panjang bumbu kuning,Ikan patin goreng,Lodeh terong,Mentimun serut,Es doger,397.6,3
Perkedel kentang,Telur puyuh bumbu kuning,Bihun goreng,Jus pepaya kayu manis,Kue beras,383.90000000000003,3
Urap,Bening bayam tauge,Tempe goreng tepung,Jus belimbing berembun,Pempek ,399.90000000000003,3
Nasi uduk,Bening bayam tauge,Sandwich ikan tuna panggang,Jus Buah naga,Kue beras,379.5,3
Soto kudus,Ikan kuah kuning,Urab,Pisang bakar saus manis,Pisang,357.5,3
Teri basah goreng renyah,Ayam woku,Ikan mujair pepes,Jus mangga,Jus semangka,284.0,3
Bubur kacang hijau,Tahu cabe garam,Ikan cakalang asap,Jus wortel tomat,Kue cucur,396.0,3
Telur ceplok air acar kuning,Karedok,Pecel ,Kue tapioka,Bakpia,353.1,3
Ikan bawal goreng,Ikan panggang siram acar,Tahu siksa,Batagor,Jus wortel ,305.5,3
Tempe bacem,Tumis pepaya muda,Ikan bakar bumbu kecap,Jambu biji ,Mangga kweni,296.5,3
Semur jengkol,Tumis pepaya muda,Daun singkong bumbu iris,Lemang manis isi pisang,Markisa,219.6,3
Tumis genjer,Terong bakar,Spageti udang,Jus pepaya belimbing,Onde-onde,397.6,3
Tuna bakar bumbu bali,Tekwan,Kangkung bumbu kare,Getuk kacang hijau,Bubur sumsum,308.5,3
Perkedel kentang,Tumis buncis wortel bintik,Oseng tahu tomat,Nanas,Jus alpukat ,254.9,3
Soto bandung,Sayur bunga pepaya,Bihun goreng,Jeruk,Cempedak,322.5,3
Tuna bakar bumbu bali,Tuna bumbu pepes,Kangkung bumbu kare,Jus pepaya belimbing,Markisa,363.6,3
Tumis kacang panjang tempe,Tumis buncis wortel bintik,Urab,Kue bugis isi kacang hijau,Bluberi,342.0,3
Ikan mas goreng,Rendang,Nasi goreng kunyit,Salak,Ronde,315.0,3
Gado-gado,Ikan panggang siram acar,Ayam panggang bumbu bacem,Jus mangga,Sale pisang,244.39999999999998,3
Teri basah goreng renyah,Tahu bacem,Sambal udang,Stroberi,Puding vanila,318.0,3
Telur ceplok,Ikan mujair goreng,Tumis ikan tongkol,Jeruk,Mangga kweni,311.0,3
Tempe masak wijen,Rendang,Mie hokian,Rujak buah,Markisa,363.0,3
Telur ceplok air acar kuning,Onigiri,Mie rebus tauge,Getuk kacang hijau,Es krim,294.8,3
Tempe panggang,Tekwan,Nasi goreng kunyit,Jus nanas,Kue kacang,393.0,3
Teri basah goreng renyah,Pepes bandeng presto,Tumis kapri manis,Durian,Tahu sumedang,259.9,3
Pepes ikan mas,Asem-asem kangkung,Kangkung bumbu kare,Rujak pepaya alpukat,Bluberi,267.1,3
Tempe panggang,Ikan patin goreng,Daging sapi panggang,Buah naga,Jus alpukat ,329.0,3
Semur jengkol,Rendang,Tumis kapri manis,Pir,Es krim,266.5,3
Telur orak-arik,Telur puyuh bumbu kuning,Nasi goreng sayur,Susu murni,Sari apel,379.3,3
Urap,Pepes bandeng presto,Kangkung bumbu kare,Jus apel,Kue beras,312.7,3
Bubur kacang hijau,Ikan patin goreng,Ampela goreng ,Jus apel,Jus semangka,366.0,3
Bubur kacang hijau,Ikan mujair goreng,Tempe kukus cabe hijau,Puding coklat,Jus jeruk,377.5,3
Kacang panjang bumbu kuning,Gudeg,Urab,Dadar gulung,Buah delima ,238.5,3
Sayur pakis,Tempe orek,Tempe pesmol,Sup buah tropika,Jus alpukat ,268.4,3
Rawon,Sayur bunga pepaya,Ayam kalasan,Jus pepaya belimbing,Yogurt,316.5,3
Tempe panggang,Bening bayam tauge,Sayur rica rodoh,Dadar gulung,Takoyaki,380.1,3
Lontong sayur,Terong bakar,Pepes teri,Jus jambu,Pastel ,295.0,3
Soto banjar,Pepes bandeng presto,Brengkes patin,Salad buah,Tahu sumedang,346.4,3
Tempe panggang,Bakso aci,Oseng tahu tomat,Jus apel,Duku,254.9,3
Urap megono,Bihun goreng,Ayam panggang bumbu bacem,Kurma,Jus jeruk,379.7,3
Tuna bakar bumbu bali,Pepes bandeng presto,Brengkes patin,Kurma,Bakwan,248.6,3
Tumis pare,Rendang,Makaroni bumbu merah,Salad buah,Cenil,362.0,3
Kwetiau udang sambal rujak,Terong bakar,Bihun goreng,Pisang panggang saus kurma,Pastel ,356.3,3
Soto ayam,Sayur bunga pepaya,Tahu bumbu merah,Anggur ,Kue nagasari,314.3,3
Ayam suwir,Rendang,Daun singkong bumbu iris,Jus Buah naga,Kue pancong,308.0,3
Ayam suwir,Pepes bandeng presto,Mie rebus tauge,Rambutan,Bakwan,291.7,3
Telur rebus,Terong bakar,Urab,Rujak jeruk bali,Kue nastar,283.7,3
Lontong sayur,Ayam rendang,Tumis tahu kentang seledri,Talam nangka,Cempedak,354.3,3
Gado-gado,Mie bakso,Sayur siram bumbu tumis,Stroberi,Es buah,356.1,3
Kwetiau udang sambal rujak,Telur puyuh bumbu kuning,Sayur siram bumbu tumis,Getuk kacang hijau,Bakpia,315.5,3
Laksa palembang,Pepes bandeng presto,Mie rebus tauge,Jus mentimun jambu,Buah delima ,301.2,3
Soto betawi ,Bening bayam tauge,Pecel ,Jus pepaya kayu manis,Markisa,262.6,3
Telur rebus,Tahu bacem,Ayam kalasan,Sari buah tropika,Kue nagasari,372.4,3
Semur jengkol,Sayur tahu toge,Pepes teri,Talam nangka,Sukun goreng,389.3,3
Ayam suwir,Terong bakar,Kerang asap,Jambu biji ,Es buah,248.0,3
Tumis labu siam,Tahu cabe garam,Tempe pesmol,Kue tapioka,Pie susu,363.1,3
Ikan mas goreng,Ikan patin goreng,Daun singkong bumbu iris,Es kuwut,Semangka,227.0,3
Belut goreng,Tahu cabe garam,Tahu bumbu kukus,Pisang bakar saus manis,Pisang,355.4,3
Sayur pakis,Ikan belanak goreng,Pepes tongkol sambal dabu-dabu,Puding coklat,Tape singkong,383.8,3
Coto makasar,Telur puyuh bumbu kuning,Ayam kalasan,Kelengkeng,Apel fuji,373.5,3
Bubur kacang hijau,Ikan mujair goreng,Ayam panggang bumbu bacem,Rujak pepaya alpukat,Buah delima ,283.5,3
Kwetiau udang sambal rujak,Tahu bacem,Ayam panggang bumbu bacem,Susu murni,Cempedak,233.0,3
Bubur ketan hitam,Pepes bandeng presto,Pepes tongkol sambal dabu-dabu,Nanas,Kue nagasari,255.2,3
Telur dadar,Ikan belanak goreng,Sayur nangka,Es kuwut,Semangka,397.0,3
Nasi ciprat,Ayam woku,Tempe goreng tepung,Jus pepaya belimbing,Es krim,296.3,3
Nasi kebuli,Nasi hijau harum,Gadon tahu jamur,Sari seledri campur,Sosis solo,362.9,3
Telur dadar,Ikan belanak goreng,Tahu bumbu merah,Sari seledri campur,Cempedak,348.3,3
Nasi goreng tuna,Ayam woku,Oseng tahu tomat,Jus stroberi,Bakpia,349.6,3
Lontong sayur,Sambal teri,Orak arik bening soun,Jus pepaya belimbing,Ronde,316.6,3
Nasi ciprat,Tahu bacem,Sayur rica rodoh,Es teler,Sosis solo,318.0,3
Bubur nasi,Tumis buncis wortel bintik,Kangkung bumbu kare,Talam nangka,Markisa,213.60000000000002,3
Telur ceplok air acar kuning,Ikan panggang siram acar,Saboko gurita,Sari seledri timun,Bluberi,333.2,3
Bubur kacang hijau,Pecel lele,Ikan bandeng goreng,Jus nanas,Es krim,331.0,3
Pepes tahu,Ikan panggang siram acar,Tempe pesmol,Jus nanas,Cempedak,309.2,3
Nasi ciprat,Nasi rames,Mie rebus tauge,Sup buah tropika,Sari apel,350.4,3
Rawon,Tekwan,Tumis kapri manis,Anggur ,Sawo,372.5,3
Sayur pakis,Tekwan,Orak arik bening soun,Nanas,Kue beras,286.5,3
Tuna bakar bumbu bali,Bening bayam tauge,Tempe mendoan,Salad buah,Apel fuji,270.5,3
Ayam suwir,Pepes bandeng presto,Sandwich ikan tuna panggang,Rujak buah,Markisa,332.6,3
Telur rebus,Terong bakar,Tempe pesmol,Salak,Susu kedelai,201.5,3
Lontong sayur,Tahu bacem,Sayur rica rodoh,Pisang bakar saus manis,Bakpia,265.3,3
Nasi goreng tuna,Ikan belanak goreng,Nasi goreng kunyit,Sari seledri campur,Sawo,327.7,3
Nasi pecel,Sambal goreng kentang,Sambal udang,Kue apem,Sari apel,298.0,3
Pepes ikan mas,Sayur bunga pepaya,Orak arik bening soun,Jus apel,Sukun goreng,375.5,3
Soto kudus,Telur puyuh bumbu kuning,Pecel ,Melon,Kue cucur,398.1,3
Tumis sawi putih,Pepes bandeng presto,Lumpia basah,Es kuwut,Sukun goreng,347.5,3
Tempe masak wijen,Garang asem ayam,Tahu siksa,Kue bugis,Sukun goreng,291.0,3
Gado-gado,Ikan kuah kuning,Ayam kalasan,Jus wortel tomat,Jus jeruk,336.4,3
Nasi kebuli,Pepes bandeng presto,Pecel ,Kurma,Kue kacang,350.4,3
Ikan mas goreng,Ayam woku,Makaroni bumbu merah,Stroberi,Nangka,293.0,3
Soto daging ,Tempe orek,Pecel ,Kue bugis isi kacang hijau,Sukun goreng,394.0,3
Bubur ayam,Terong bakar,Urab,Salad buah,Sale pisang,324.0,3
Tempe masak wijen,Ikan panggang siram acar,Gulai ikan ,Anggur ,Ronde,209.9,3
Soto daging ,Sambal teri,Tempe pesmol,Asinan bengkuang nanas,Sukun goreng,313.1,3
Tempe bacem,Pecel lele,Tempe goreng tepung,Asinan bengkuang nanas,serabi,294.6,3
Urap megono,Garang asem ayam,Tempe pesmol,Jus belimbing berembun,Jus alpukat ,266.1,3
Nasi pecel,Sayur tahu toge,Sayur nangka,Salak,Tape singkong,277.0,3
Soto kudus,Asem-asem kangkung,Lumpia basah,Jus pepaya belimbing,Sosis solo,331.2,3
Nasi ciprat,Ikan mujair goreng,Tahu bumbu kukus,Jambu biji ,Kue kacang,365.1,3
Sayur pakis,Ikan mujair goreng,Pepes tongkol sambal dabu-dabu,Susu murni,Yogurt,281.8,3
Belut goreng,Terong bakar,Mie rebus tauge,Durian,Kue beras,331.3,3
Telur ceplok air acar kuning,Tumis pepaya muda,Hati ayam goreng,Talam ubi,Sosis solo,387.8,3
Ikan mas goreng,Pepes bandeng presto,Ikan bakar bumbu kecap,Rujak buah,Kue beras,285.9,3
Nasi ciprat,Sate kambing,Tahu bumbu kukus,Jus nanas,Sukun goreng,393.09999999999997,3
Soto banjar,Mie bakso,Makaroni bumbu merah,Pisang panggang saus kurma,Es krim,323.5,3
Bubur nasi,Nasi hijau harum,Oseng tahu tomat,Kelengkeng,Kue kacang,348.9,3
Tumis labu siam,Ikan panggang siram acar,Tahu bumbu merah,Jus wortel tomat,Kue nastar,320.0,3
Coto makasar,Nasi hijau harum,Mie rebus tauge,Talam ubi,Sukun goreng,395.6,3
Nasi bakar,Tumis buncis wortel bintik,Daun singkong bumbu iris,Jus pepaya belimbing,Kue pukis,302.1,3
Gulai tunjang,Pecel lele,Sayur siram bumbu tumis,Asinan bengkuang nanas,Kue pancong,334.70000000000005,3
Urap megono,Terong bakar,Makaroni bumbu merah,Pir,Tahu sumedang,245.0,3
Pepes ikan mas,Tumis buncis wortel bintik,Kangkung bumbu kare,Kurma,Bluberi,249.3,3
Laksa palembang,Sayur bunga pepaya,Tahu bumbu kukus,Jus mentimun jambu,Sukun goreng,354.4,3
Kacang panjang bumbu kuning,Garang asem ayam,Tumis tahu kentang seledri,Jus belimbing berembun,Sosis solo,313.1,3
Pepes ikan mas,Bening bayam tauge,Tumis kapri manis,Putu mayang,Jus semangka,264.8,3
Nasi goreng tuna,Ikan patin goreng,Sayur bobor,Susu murni,Semangka,203.7,3
Lontong sayur,Ikan belanak goreng,Pepes tongkol sambal dabu-dabu,Getuk kacang hijau,Sukun goreng,331.8,3
Tahu balado,Ikan panggang siram acar,Orak arik bening soun,Jus pepaya kayu manis,Semangka,390.5,3
Teri basah goreng renyah,Onigiri,Daging sapi panggang,Anggur ,Apel fuji,400.0,3
Tempe masak wijen,Tumis buncis wortel bintik,Urab,Salak,Tahu isi,314.2,3
Tumis genjer,Bening bayam tauge,Ayam kalasan,Rambutan,Es krim,288.7,3
Kwetiau udang sambal rujak,Sambal teri,Sayur bobor,Asinan bengkuang nanas,Kue bawang,373.90000000000003,3
Kacang panjang bumbu kuning,Rendang,Ikan bakar bumbu kecap,Sup buah serut,Es buah,348.3,3
Tumis pare,Telur puyuh bumbu kuning,Tumis tahu kentang seledri,Susu murni,Kue pukis,341.1,3
Tuna bakar bumbu bali,Tahu cabe garam,Oseng tahu tomat,Pisang ,Lemper,251.10000000000002,3
Nasi kebuli,Sambal goreng kentang,Sambal udang,Sup buah tropika,Sari apel,392.9,3
Bubur ketan hitam,Pepes bandeng presto,Saboko gurita,Jus jambu,Susu kedelai,354.4,3
Ayam suwir,Gudeg,Tahu bumbu kukus,Asinan bengkuang nanas,Jus jeruk,235.5,3
Soto betawi ,Nasi hijau harum,Pepes tongkol sambal dabu-dabu,Pir,Sukun goreng,301.8,3
Kering tempe,Nasi hijau harum,Tumis tahu kentang seledri,Jambu biji ,Susu kedelai,362.0,3
Soto bandung,Tumis buncis wortel bintik,Kangkung bumbu kare,Rujak buah,Apel fuji,257.3,3
Bubur kacang hijau,Rendang,Kangkung bumbu kare,Nanas,Jus wortel ,289.3,3
Gado-gado,Ikan panggang siram acar,Ayam kalasan,Susu,Apel fuji,225.1,3
Nasi pecel,Tempe orek,Spageti udang,Jus stroberi,Semangka,309.5,3
Soto banjar,Mie bakso,Tahu bumbu merah,Jus apel,Kue pancong,335.3,3
Ikan bawal goreng,Ikan mujair goreng,Sayur rica rodoh,Jus mentimun jambu,Cenil,314.3,3
Telur ceplok air acar kuning,Asem-asem kangkung,Brengkes patin,Jeruk,Kue nastar,279.5,3
Soto bandung,Tahu cabe garam,Tempe pesmol,Es kelapa muda,Kue nastar,305.5,3
Laksa palembang,Tahu cabe garam,Orak arik bening soun,Jus melon,Sari apel,388.5,3
Ayam suwir,Gudeg,Pecel ,Salad buah,Tape singkong,244.0,3
Rawon,Nasi hijau harum,Tahu siksa,Jus jambu,Mangga kweni,263.8,3
Nasi ciprat,Bening bayam tauge,Sayur nangka,Talam nangka,Seblak,297.8,3
Soto daging ,Nasi hijau harum,Ikan mujair pepes,Jus Buah naga,Jus jeruk,296.0,3
Sayur bening bayam,Terong bakar,Tahu bumbu kukus,Jus wortel tomat,Kue nastar,324.9,3
Soto betawi ,Gudeg,Tumis kapri manis,Rujak jeruk bali,Sawo,363.2,3
Nasi kebuli,Pepes bandeng presto,Mie hokian,Jus nanas,Mangga kweni,268.2,3
Telur ceplok air acar kuning,Asem-asem kangkung,Ikan cakalang asap,Rujak jeruk bali,Duku,298.2,3
Nasi ciprat,Ayam woku,Pepes teri,Jus apel,Duku,264.2,3
Nasi ciprat,Tempe penyet,Urab,Putu mayang,Es krim,342.2,3
Telur ceplok,Terong bakar,Gulai ikan ,Susu murni,Susu kedelai,360.0,3
Lontong sayur,Bening bayam tauge,Sayur rica rodoh,Pisang panggang saus kurma,Kacang mete sangrai asin,397.6,3
Soto daging ,Terong bakar,Tempe goreng tepung,Es teler,Pisang,386.0,3
Nasi kebuli,Telur puyuh bumbu kuning,Ikan mujair pepes,Jeruk,Mangga kweni,301.1,3
Semur jengkol,Bakso aci,Mie rebus tauge,Mentimun serut,Pisang,316.40000000000003,3
Kacang panjang bumbu kuning,Telur puyuh bumbu kuning,Lodeh terong,Es kelapa muda,Sawo,299.6,3
Kacang panjang bumbu kuning,Bening bayam tauge,Gulai kambing,Salak,Tahu walik,334.8,3
Soto betawi ,Pecel lele,Ayam kalasan,Jus jambu,Kue beras,281.4,3
Ikan kembung balado,Pepes bandeng presto,Tahu bumbu merah,Kurma,Susu kedelai,359.7,3
Lontong sayur,Ikan patin goreng,Gadon tahu jamur,Apel,Bakpia,262.9,3
Telur ceplok air acar kuning,Tahu cabe garam,Tempe goreng tepung,Talam ubi,Jus jeruk,206.8,3
Laksa palembang,Bening bayam tauge,Makaroni bumbu merah,Klepon,Sukun goreng,351.3,3
Tempe goreng,Tahu cabe garam,Gadon tahu jamur,Pisang panggang saus kurma,Jus jeruk,347.4,3
Soto banjar,Bening bayam tauge,Orak arik bening soun,Melon,Bakwan,363.8,3
Tuna bakar bumbu bali,Nasi hijau harum,Ikan belida bakar,Manggis,Jus semangka,398.2,3
Telur rebus,Bening bayam tauge,Terong goreng,Pir,Kue kacang,353.3,3
Semur jengkol,Ayam betutu,Tahu siksa,Susu,Duku,363.8,3
Telur ceplok,Ikan patin goreng,Opor ayam,Anggur ,Bluberi,377.0,3
Soto daging ,Gudeg,Tumis kapri manis,Jus jambu,Jus alpukat ,320.5,3
Soto ayam,Spageti,Brengkes patin,Talam ubi,Mangga kweni,373.3,3
Nasi ciprat,Sayur bunga pepaya,Terong balado,Jus Buah naga,Markisa,397.2,3
Soto banjar,Ikan kuah kuning,Pepes tongkol sambal dabu-dabu,Stroberi,Mangga kweni,273.8,3
Telur dadar,Pepes bandeng presto,Ikan cakalang asap,Putu mayang,Sari apel,356.4,3
Soto banjar,Tumis buncis wortel bintik,Tempe goreng tepung,Jus Buah naga,Tahu sumedang,387.0,3
Rawon,Babat sapi,Tumis kapri manis,Salak,Tape singkong,249.5,3
Kacang panjang bumbu kuning,Ayam lada hitam,Tempe kukus cabe hijau,Sup buah tropika,Yogurt,293.9,3
Soto ayam,Ikan kuah kuning,Makaroni bumbu merah,Kelengkeng,Cenil,297.0,3
Nasi pecel,Terong bakar,Tumis ikan tongkol,Lemang manis isi pisang,Lemper,217.6,3
Tempe masak wijen,Babat sapi,Kerang asap,Kue bugis isi kacang hijau,Bluberi,241.2,3
Nasi ciprat,Babat sapi,Lumpia basah,Nanas,Takoyaki,386.3,3
Nasi ciprat,Tempe orek,Tempe pesmol,Mentimun serut,Kue kacang,367.79999999999995,3
Ayam suwir,Tumis pepaya muda,Pepes tongkol sambal dabu-dabu,Kue bugis isi kacang hijau,Kue cucur,336.8,3
Soto banjar,Ayam betutu,Tahu siksa,Apel,Es krim,364.8,3
Kwetiau udang sambal rujak,Bakso ikan,Urab,Es kelapa muda,Jus semangka,367.3,3
