makan_pagi,makan_siang,makan_malam,snack_1,snack_2,total_natrium,derajat,natrium_makan_pagi,natrium_makan_siang,natrium_makan_malam,natrium_snack_1,natrium_snack_2
soto bandung,cumi goreng,kari daging domba,anggur,kue beras,688,2,132,335,210,2,9
lontong sayur,bubur sapi,perkedel tahu,rujak jeruk bali,sawo,793.7,2,64,320,389,8.7,12
ayam goreng,sayur tahu toge,gadon tahu jamur,talam ubi,apel fuji,635.2,2,350,256,18.9,9.3,1
tumis labu siam,dendeng sapi,ayam kalasan,jus mangga,kue bawang,685.4,2,145,443,28.4,2,67
kering tempe,ikan kuah kuning,daging sapi panggang,durian,cenil,632,2,221,162,217,2,30
telur dadar,tempe orek,paru sapi goreng,durian,nangka,668,2,98,209,356,2,3
ikan kembung balado,beef teriyaki,oseng tahu tomat,salak,pempek,718.9,2,277,377,5.9,2,57
teri basah goreng renyah,ikan tuna sambal goreng,bihun goreng,klepon,susu kedelai,626.5,2,40,360,92.5,79,55
nasi bakar,ayam rendang,bandeng presto,mentimun serut,duku,720.1,2,169,274,270,6.1,1
telur orak-arik,sate ayam,urab,melon,bakwan,758,2,211,355,12,16,164
pindang patin,beef teriyaki,brengkes patin,kelengkeng,tahu gejrot,677,2,90,377,43,0,167
pepes ikan mas,bakso ikan,gulai ikan,jus belimbing berembun,pastel,778.6,2,191,255,169,3.6,160
urap,telur puyuh bumbu kuning,bubur manado,kue bugis isi kacang hijau,lemper,759.1,2,251,73.1,242,8,185
ketoprak,tempe orek,gulai ikan,rujak pepaya alpukat,jus jeruk,783.8,2,391,209,169,13.8,1
tumis pakcoy,ikan belanak goreng,ayam panggang bumbu bacem,mangga,tahu sumedang,664.7,2,220,220,26.7,2,196
tumis sawi putih,bebek bakar,kari daging domba,kelengkeng,bluberi,615,2,211,193,210,0,1
nasi liwet,oseng tahu,mie rebus tauge,jus mentimun jambu,cenil,700.8,2,228,405,35.3,2.5,30
soto betawi,tempe penyet,pepes teri,sup buah serut,bolu pisang,799.3,2,194,241,67,33.3,264
soto betawi,sayur tahu toge,daging sapi panggang,jus buah naga,sosis solo,755,2,194,256,217,7,81
kering tempe,ceker mercon,terong goreng,sup buah serut,bakwan,782.3,2,221,302,62,33.3,164
ayam suwir kemangi,bening bayam tauge,ikan panggang,mentimun serut,bakpia,766.4,2,274,12.3,356,6.1,118
sayur pakis,sate ayam,pecel,susu,lemper,605,2,1,355,23,41,185
paha ayam panggang,gudeg,lumpia basah,susu,kue cucur,749.1,2,406,147,40.1,41,115
teri basah goreng renyah,sate padang,opor ayam,rambutan,tahu gejrot,783,2,40,347,219,10,167
gulai pakis,ayam bakar,pecel,stroberi,duku,786,2,352,409,23,1,1
tumis kacang panjang tempe,ayam rendang,tempe pesmol,puding coklat,pisang,702.5,2,295,274,3.5,129,1
gulai tunjang,ayam betutu,sayur siram bumbu tumis,rujak buah,es doger,673.1,2,215,251,14.1,69,124
tumis pare,ayam woku,tumis bandeng,anggur,duku,625,2,125,183,314,2,1
telur rebus,ikan tuna sambal goreng,pepes tongkol sambal dabu-dabu,es teler,cenil,710.8,2,139,360,26.8,155,30
soto kudus,ikan tongkol balado,terong balado,mangga,buah delima,790,2,171,352,262,2,3
telur ceplok,ikan lele panggang,nasi goreng kunyit,kue apem,lemper,799,2,94,385,35,100,185
bubur nasi,sate padang,bubur manado,sari buah tropika,buah delima,724,2,126,347,242,6,3
telur orak-arik,ikan kuah kuning,bandeng presto,jus pepaya kayu manis,tape singkong,655.3,2,211,162,270,5.3,7
soto bandung,tumis oncom,urab,putu mayang,bakwan,629,2,132,262,12,59,164
tumis kol,ayam penyet,pepes teri,cilok,serabi,787,2,114,288,67,221,97
soto banjar,kepiting panggang,nasi goreng sayur,sup buah tropika,tape singkong,717.1,2,82,539,52.2,36.9,7
nasi ciprat,ayam masak merah,ikan cakalang asap,batagor,puding vanila,755.2,2,10.2,282,176,152,135
belut goreng,bakso aci,sandwich ikan tuna panggang,es kelapa muda,buah delima,661.2,2,283,214,153.2,8,3
soto banjar,sup nasi ayam,tempe goreng tepung,jus nanas,martabak telur,634,2,82,339,76,2,135
ketoprak,sayur tahu toge,oseng tahu tomat,salak,sukun goreng,656.9,2,391,256,5.9,2,2
tumis buncis,ayam masak merah,ikan baung bakar,durian,yogurt,735,2,263,282,168,2,20
sayur pakis,bakso ayam,pecel,sup buah serut,pempek kapal selam,720.3,2,1,442,23,33.3,221
semur jengkol,kepiting panggang,mie rebus tauge,jus nanas,yogurt,656.3,2,60,539,35.3,2,20
ikan bawal goreng,sambal goreng kentang,ikan bandeng goreng,putu mayang,tahu gejrot,640,2,85,114,215,59,167
kupat tahu,ayam goreng,gadon tahu jamur,jus nanas,cempedak,620.9,2,244,350,18.9,2,6
soto banjar,terong bakar,lobstre panggang,jambu biji,nangka,719,2,82,2,630,2,3
belut goreng,ayam cincang buncis,nasi goreng sayur,rujak buah,jus semangka,646.2,2,283,241,52.2,69,1
nasi ciprat,onigiri,opor ayam,kurma,bolu pisang,635.2,2,10.2,140,219,2,264
telur ceplok,mie bakso,rendang,sup buah serut,kue cucur,619.3,2,94,193,184,33.3,115
coto makasar,ikan patin goreng,makaroni bumbu merah,jus jambu,kacang mete sangrai asin,660,2,271,61,18,2,308
dendeng sapi,ayam cincang buncis,tahu bumbu kukus,anggur,sari apel,708.9,2,443,241,19.9,2,3
tumis buncis,tekwan,ikan baung bakar,anggur,es krim,639,2,263,186,168,2,20
ayam suwir,sup nasi ayam,ikan belida bakar,sari buah tropika,yogurt,720,2,62,339,293,6,20
soto bandung,sayur tahu toge,daging sapi panggang,jus jambu,pastel,767,2,132,256,217,2,160
ikan mas goreng,kepiting panggang,terong goreng,jus mentimun jambu,duku,692.5,2,88,539,62,2.5,1
tumis pakcoy,ikan lele panggang,daun singkong bumbu iris,anggur,sari apel,613,2,220,385,3,2,3
nasi goreng,ikan mujair goreng,pepes teri,buah naga,semangka,679,2,415,194,67,2,1
gulai tunjang,bakso aci,opor ayam,talam nangka,sari apel,655.3,2,215,214,219,4.3,3
pepes tahu,tuna bumbu pepes,pepes teri,talam nangka,bakpia,738.3,2,269,280,67,4.3,118
lontong sayur,pepes bandeng presto,ayam geprek,pisang bakar saus manis,kue pancong,607.9,2,64,20.4,460,11.5,52
tuna bakar bumbu bali,ikan kuah kuning,sop buntut,nanas,sosis solo,741.2,2,19.2,162,478,1,81
soto betawi,tumis pepaya muda,gulai kambing,klepon,susu kedelai,616,2,194,125,163,79,55
ikan tongkol goreng,babat sapi,gulai ayam,jeruk,sosis solo,602,2,244,68,207,2,81
bubur kacang hijau,beef burger,tumis kapri manis,rujak buah,buah delima,691.5,2,46,572,1.5,69,3
teri basah goreng renyah,ikan lele panggang,hati ayam goreng,jeruk,puding vanila,654,2,40,385,92,2,135
semur jengkol,nasi hijau harum,bihun goreng,kue bugis,tape singkong,298.5,3,60,78,92.5,61,7
pepes ikan mas,bebek bakar,tumis tahu kentang seledri,mentimun serut,pisang,397.1,3,191,193,6,6.1,1
nasi ciprat,onigiri,tempe kukus cabe hijau,putu mayang,jus semangka,217.7,3,10.2,140,7.5,59,1
kwetiau udang sambal rujak,tahu bacem,nasi goreng kunyit,batagor,es krim,367.3,3,91.3,69,35,152,20
kacang panjang bumbu kuning,iga bakar,terong goreng,jus wortel tomat,yogurt,382.5,3,9.5,272,62,19,20
sayur pakis,pepes bandeng presto,saboko gurita,rujak pepaya alpukat,buah delima,238.2,3,1,20.4,200,13.8,3
sayur pakis,karedok,tahu siksa,es kuwut,sosis solo,293.8,3,1,127,10.8,74,81
teri basah goreng renyah,ikan panggang siram acar,sandwich ikan tuna panggang,pisang,kue nagasari,352.9,3,40,28.7,153.2,1,130
pepes tongkol,terong bakar,rendang,lemang manis isi pisang,bubur sumsum,356.6,3,112,2,184,3.6,55
nasi uduk,ikan patin goreng,sayur bobor,susu murni,jus semangka,360,3,198,61,60,40,1
soto ayam,ikan panggang siram acar,sayur bobor,jambu biji,kue nagasari,307.7,3,87,28.7,60,2,130
urap megono,ikan kuah kuning,sambal udang,salad buah,bubur sumsum,323,3,28,162,73,5,55
nasi bakar,nasi hijau harum,ayam kalasan,rambutan,sawo,297.4,3,169,78,28.4,10,12
tuna bakar bumbu bali,babat sapi,tahu bumbu merah,apel,lemper,278.5,3,19.2,68,5.3,1,185
tempe panggang,sambal teri,pecel,jambu biji,jus wortel,235,3,31,150,23,2,29
ikan tongkol goreng,terong bakar,sayur siram bumbu tumis,anggur,jus alpukat,280.1,3,244,2,14.1,2,18
kacang panjang bumbu kuning,sambal teri,nasi goreng kunyit,es kelapa muda,serabi,299.5,3,9.5,150,35,8,97
kacang panjang bumbu kuning,tahu cabe garam,opor ayam,pisang panggang saus kurma,jus jeruk,280,3,9.5,40,219,10.5,1
gado-gado,ikan panggang siram acar,tahu bumbu merah,kue tapioka,puding vanila,299.6,3,126,28.7,5.3,4.6,135
pepes ayam,terong bakar,gadon tahu jamur,jus jambu,pempek kapal selam,392.9,3,149,2,18.9,2,221
ikan bawal goreng,karedok,tahu siksa,salad buah,jus alpukat,245.8,3,85,127,10.8,5,18
urap megono,telur puyuh bumbu kuning,tumis tahu kentang seledri,pisang panggang saus kurma,serabi,214.6,3,28,73.1,6,10.5,97
telur rebus,nasi hijau harum,ikan mujair pepes,jus apel,markisa,306,3,139,78,58,3,28
teri basah goreng renyah,telur puyuh bumbu kuning,sandwich ikan tuna panggang,pisang panggang saus kurma,apel fuji,277.8,3,40,73.1,153.2,10.5,1
pindang patin,babat sapi,ikan bakar bumbu kecap,jus jambu,puding vanila,394.5,3,90,68,99.5,2,135
semur jengkol,tumis pepaya muda,sambal udang,kelengkeng,kue pancong,310,3,60,125,73,0,52
tumis daun pepaya,tumis buncis wortel bintik,tahu bumbu kukus,sup buah tropika,pisang,296.8,3,213,26,19.9,36.9,1
nasi liwet,ikan patin goreng,ikan mujair pepes,rujak pepaya alpukat,pisang,361.8,3,228,61,58,13.8,1
rawon,pepes bandeng presto,sayur rica rodoh,putu mayang,buah delima,256.2,3,171,20.4,2.8,59,3
tuna bakar bumbu bali,tuna bumbu pepes,tahu bumbu kukus,talam nangka,sawo,335.4,3,19.2,280,19.9,4.3,12
nasi goreng tuna,telur puyuh bumbu kuning,tahu siksa,rujak buah,martabak telur,329.6,3,41.7,73.1,10.8,69,135
pindang patin,tahu cabe garam,tahu siksa,kue bugis,kue pancong,253.8,3,90,40,10.8,61,52
telur rebus,sambal goreng kentang,gadon tahu jamur,es kelapa muda,nangka,282.9,3,139,114,18.9,8,3
sayur pakis,pepes bandeng presto,tahu bumbu merah,jeruk,risol bihun,231.7,3,1,20.4,5.3,2,203
ikan mas goreng,rendang,sayur rica rodoh,jus pepaya belimbing,kue pukis,378.9,3,88,184,2.8,7.1,97
nasi pecel,telur puyuh bumbu kuning,opor ayam,rujak jeruk bali,semangka,309.8,3,8,73.1,219,8.7,1
sayur pakis,sambal goreng kentang,orak arik bening soun,jus nanas,semangka,207.5,3,1,114,89.5,2,1
nasi pecel,bakso aci,terong goreng,jus stroberi,kue beras,294,3,8,214,62,1,9
bubur kacang hijau,nasi hijau harum,urab,pisang panggang saus kurma,kue nastar,268.5,3,46,78,12,10.5,122
bubur nasi,sambal goreng kentang,sayur rica rodoh,susu murni,susu kedelai,337.8,3,126,114,2.8,40,55
tumis pare,tempe penyet,tumis kapri manis,mentimun serut,cempedak,379.6,3,125,241,1.5,6.1,6
tempe masak wijen,bakso aci,tahu bumbu merah,jus melon,martabak telur,374.5,3,4.2,214,5.3,16,135
soto kudus,bening bayam tauge,sayur rica rodoh,kue bugis,wajik,387.1,3,171,12.3,2.8,61,140
pepes ayam,ikan patin goreng,sayur rica rodoh,jus pepaya kayu manis,pie susu,388.1,3,149,61,2.8,5.3,170
soto kudus,tumis buncis wortel bintik,sandwich ikan tuna panggang,pisang bakar saus manis,sawo,373.7,3,171,26,153.2,11.5,12
ayam rica-rica,babat sapi,daun singkong bumbu iris,rujak pepaya alpukat,apel fuji,323.8,3,238,68,3,13.8,1
pepes tongkol,sayur bunga pepaya,brengkes patin,talam nangka,sari apel,252.3,3,112,90,43,4.3,3
sayur bening bayam,karedok,tahu siksa,susu,sukun goreng,342.8,3,162,127,10.8,41,2
tumis pare,pecel lele,ikan bakar bumbu kecap,jus mentimun jambu,es krim,295,3,125,48,99.5,2.5,20
teri basah goreng renyah,tumis oncom,daun singkong bumbu iris,rambutan,markisa,343,3,40,262,3,10,28
ayam goreng,bening bayam tauge,tumis ikan tongkol,pepaya,jus jeruk,385.3,3,350,12.3,19,3,1
pepes tongkol,karedok,ayam panggang bumbu bacem,anggur,kue pancong,319.7,3,112,127,26.7,2,52
sayur pakis,bakso ikan,terong goreng,kue tapioka,tape singkong,329.6,3,1,255,62,4.6,7
tempe goreng,nasi hijau harum,ayam kalasan,salad buah,pisang,389.4,3,277,78,28.4,5,1
nasi bakar,nasi hijau harum,nasi goreng sayur,kue tapioka,jus wortel,332.8,3,169,78,52.2,4.6,29
rawon,sambal goreng kentang,hati ayam goreng,jus pepaya kayu manis,jus semangka,383.3,3,171,114,92,5.3,1
telur dadar,mie bakso,nasi goreng kunyit,jeruk,jus semangka,329,3,98,193,35,2,1
nasi ciprat,nasi rames,ayam panggang bumbu bacem,sari seledri campur,duku,321.9,3,10.2,265,26.7,19,1
tempe masak wijen,ayam penyet,hati ayam goreng,kue tapioka,pisang,389.8,3,4.2,288,92,4.6,1
telur dadar,sambal goreng kentang,gadon tahu jamur,sari seledri campur,jus semangka,250.9,3,98,114,18.9,19,1
telur ceplok air acar kuning,tahu cabe garam,mie hokian,kue apem,kue bawang,365.3,3,80.5,40,77.8,100,67
rawon,tahu cabe garam,spageti udang,es kelapa muda,kue bawang,376.5,3,171,40,90.5,8,67
ayam suwir,bakso ikan,kangkung bumbu kare,jus apel,markisa,377.3,3,62,255,29.3,3,28
teri basah goreng renyah,sambal goreng kentang,lumpia basah,es teler,semangka,350.1,3,40,114,40.1,155,1
bubur nasi,tahu bacem,urab,jus melon,kue kacang,362,3,126,69,12,16,139
soto kudus,terong bakar,ikan mujair pepes,nanas,jus jeruk,233,3,171,2,58,1,1
nasi pecel,pepes bandeng presto,gulai kambing,jus jambu,wajik,333.4,3,8,20.4,163,2,140
tuna bakar bumbu bali,sate padang,sayur nangka,jus apel,cempedak,379.2,3,19.2,347,4,3,6
bubur kacang hijau,babat sapi,sayur rica rodoh,kue bolu,pisang,345.8,3,46,68,2.8,228,1
kering tempe,babat sapi,pepes teri,jus mentimun jambu,sari apel,361.5,3,221,68,67,2.5,3
pepes ayam,ikan panggang siram acar,mie rebus tauge,lemang manis isi pisang,duku,217.6,3,149,28.7,35.3,3.6,1
ayam rica-rica,sayur bunga pepaya,kangkung bumbu kare,getuk kacang hijau,yogurt,396.3,3,238,90,29.3,19,20
tumis genjer,terong bakar,tahu siksa,batagor,buah delima,385.8,3,218,2,10.8,152,3
pepes tongkol,karedok,tumis tahu kentang seledri,mentimun serut,kue nagasari,381.1,3,112,127,6,6.1,130
urap,sambal goreng kentang,daun singkong bumbu iris,jus pepaya belimbing,apel fuji,376.1,3,251,114,3,7.1,1
laksa palembang,asem-asem kangkung,lumpia basah,susu,jus wortel,382.1,3,240,32,40.1,41,29
soto kudus,tumis pepaya muda,nasi goreng kunyit,jus pepaya kayu manis,cempedak,342.3,3,171,125,35,5.3,6
urap megono,onigiri,pepes tongkol sambal dabu-dabu,jus buah naga,duku,202.8,3,28,140,26.8,7,1
soto ayam,tahu bacem,ikan bandeng goreng,kue tapioka,nangka,378.6,3,87,69,215,4.6,3
ayam suwir,tahu bacem,bihun goreng,jus buah naga,sari apel,233.5,3,62,69,92.5,7,3
coto makasar,sayur bunga pepaya,oseng tahu tomat,salak,sawo,380.9,3,271,90,5.9,2,12
nasi goreng tuna,nasi hijau harum,tempe goreng tepung,sup buah tropika,buah delima,235.6,3,41.7,78,76,36.9,3
tumis sawi putih,asem-asem kangkung,mie rebus tauge,lemang manis isi pisang,kue cucur,396.9,3,211,32,35.3,3.6,115
teri basah goreng renyah,ayam rendang,tahu siksa,asinan bengkuang nanas,yogurt,350.4,3,40,274,10.8,5.6,20
coto makasar,babat sapi,tahu siksa,manggis,jus jeruk,357.8,3,271,68,10.8,7,1
ayam suwir,mie bakso,sambal udang,jus apel,cenil,361,3,62,193,73,3,30
tumis labu siam,pepes bandeng presto,kari daging domba,jus nanas,pisang,378.4,3,145,20.4,210,2,1
tumis kol,telur puyuh bumbu kuning,sayur bobor,puding coklat,kue beras,385.1,3,114,73.1,60,129,9
bubur kacang hijau,ikan patin goreng,pepes teri,puding coklat,kue pancong,355,3,46,61,67,129,52
nasi ciprat,ayam penyet,tahu siksa,jus mangga,kue pancong,363,3,10.2,288,10.8,2,52
urap megono,sambal teri,spageti udang,pisang panggang saus kurma,sosis solo,360,3,28,150,90.5,10.5,81
semur jengkol,telur puyuh bumbu kuning,mie rebus tauge,kue bugis,kue kacang,368.4,3,60,73.1,35.3,61,139
sayur pakis,onigiri,kangkung bumbu kare,susu murni,bakwan,374.3,3,1,140,29.3,40,164
tumis kol,gudeg,pecel,jus mentimun jambu,bubur sumsum,341.5,3,114,147,23,2.5,55
tuna bakar bumbu bali,asem-asem kangkung,tumis ikan tongkol,kue bugis isi kacang hijau,kue nastar,200.2,3,19.2,32,19,8,122
tempe masak wijen,babat sapi,makaroni bumbu merah,pisang bakar saus manis,pastel,261.7,3,4.2,68,18,11.5,160
nasi goreng tuna,tempe penyet,tempe kukus cabe hijau,rujak jeruk bali,sari apel,301.9,3,41.7,241,7.5,8.7,3
tempe goreng,asem-asem kangkung,tumis ikan tongkol,buah naga,sari apel,333,3,277,32,19,2,3
tempe bacem,sambal goreng kentang,kangkung bumbu kare,pir,es krim,232.3,3,68,114,29.3,1,20
tempe bacem,telur puyuh bumbu kuning,gulai daging sapi,rambutan,sukun goreng,378.1,3,68,73.1,225,10,2
nasi pecel,pecel lele,tumis bandeng,nanas,markisa,399,3,8,48,314,1,28
sayur pakis,babat sapi,sambal udang,jus mentimun jambu,serabi,241.5,3,1,68,73,2.5,97
soto banjar,tempe penyet,nasi goreng kunyit,jus apel,markisa,389,3,82,241,35,3,28
nasi pecel,bebek bakar,tahu siksa,mangga,sari apel,216.8,3,8,193,10.8,2,3
soto daging,karedok,daun singkong bumbu iris,mentimun serut,buah delima,291.1,3,152,127,3,6.1,3
bubur nasi,telur puyuh bumbu kuning,oseng tahu tomat,jus nanas,kue pancong,259,3,126,73.1,5.9,2,52
ayam suwir,onigiri,tumis tahu kentang seledri,apel,bubur sumsum,264,3,62,140,6,1,55
telur rebus,ikan panggang siram acar,kerang asap,jus nanas,jus jeruk,330.7,3,139,28.7,160,2,1
ikan mas goreng,asem-asem kangkung,nasi goreng kunyit,putu mayang,kue pancong,266,3,88,32,35,59,52
sayur pakis,garang asem ayam,ayam kalasan,jus belimbing berembun,duku,247,3,1,213,28.4,3.6,1
soto bandung,gudeg,sayur rica rodoh,mentimun serut,pempek,344.9,3,132,147,2.8,6.1,57
nasi ciprat,tumis pepaya muda,gulai daging sapi,jus mangga,jus semangka,363.2,3,10.2,125,225,2,1
kacang panjang bumbu kuning,ikan kuah kuning,sambal udang,kue bugis,onde-onde,385.5,3,9.5,162,73,61,80
tempe panggang,bebek bakar,makaroni bumbu merah,lemang manis isi pisang,mangga kweni,247.6,3,31,193,18,3.6,2
pepes ikan mas,onigiri,ikan mujair pepes,jambu biji,semangka,392,3,191,140,58,2,1
tuna bakar bumbu bali,ikan panggang siram acar,nasi goreng sayur,talam ubi,kue pukis,206.4,3,19.2,28.7,52.2,9.3,97
semur jengkol,karedok,gulai ikan,kue tapioka,jus jeruk,361.6,3,60,127,169,4.6,1
telur dadar,karedok,pepes tongkol sambal dabu-dabu,lemang manis isi pisang,susu kedelai,310.4,3,98,127,26.8,3.6,55
semur jengkol,bening bayam tauge,brengkes patin,klepon,martabak telur,329.3,3,60,12.3,43,79,135
tempe panggang,ikan mujair goreng,kangkung bumbu kare,jus mangga,sale pisang,317.3,3,31,194,29.3,2,61
sayur bening bayam,rendang,tumis tahu kentang seledri,talam nangka,sawo,368.3,3,162,184,6,4.3,12
laksa palembang,pepes bandeng presto,pepes tongkol sambal dabu-dabu,jus pepaya belimbing,es buah,316.3,3,240,20.4,26.8,7.1,22
pindang patin,asem-asem kangkung,ikan bandeng goreng,jus mangga,yogurt,359,3,90,32,215,2,20
telur ceplok,terong bakar,tempe pesmol,es teler,serabi,351.5,3,94,2,3.5,155,97
nasi pecel,sayur bunga pepaya,jengkol balado,jeruk,tape singkong,332,3,8,90,225,2,7
tempe bacem,tumis buncis wortel bintik,orak arik bening soun,pisang,kue nagasari,314.5,3,68,26,89.5,1,130
kwetiau udang sambal rujak,asem-asem kangkung,ikan cakalang asap,jus mangga,pisang,302.3,3,91.3,32,176,2,1
pindang patin,pecel lele,ikan mujair pepes,dadar gulung,onde-onde,343,3,90,48,58,67,80
tumis kol,gudeg,lumpia basah,kue bugis,cempedak,368.1,3,114,147,40.1,61,6
gulai tunjang,asem-asem kangkung,makaroni bumbu merah,jus jambu,kue cucur,382,3,215,32,18,2,115
telur dadar,sayur bunga pepaya,terong goreng,anggur,semangka,253,3,98,90,62,2,1
ayam suwir kemangi,pepes bandeng presto,tumis ikan tongkol,jus stroberi,onde-onde,394.4,3,274,20.4,19,1,80
tumis kol,telur puyuh bumbu kuning,gulai ikan,rambutan,nangka,369.1,3,114,73.1,169,10,3
tempe masak wijen,nasi rames,gadon tahu jamur,talam ubi,jus jeruk,298.4,3,4.2,265,18.9,9.3,1
soto betawi,ikan patin goreng,tempe pesmol,buah naga,martabak telur,395.5,3,194,61,3.5,2,135
pepes ayam,tumis buncis wortel bintik,kangkung bumbu kare,jus pepaya belimbing,jus alpukat,229.4,3,149,26,29.3,7.1,18
tumis kol,gudeg,tempe goreng tepung,jus apel,ronde,346,3,114,147,76,3,6
ikan mas goreng,garang asem ayam,sambal udang,pisang bakar saus manis,semangka,386.5,3,88,213,73,11.5,1
soto kudus,tahu cabe garam,nasi goreng sayur,pir,bakpia,382.2,3,171,40,52.2,1,118
soto betawi,nasi hijau harum,sayur siram bumbu tumis,susu murni,kue beras,335.1,3,194,78,14.1,40,9
semur jengkol,mie bakso,sayur siram bumbu tumis,es kelapa muda,es buah,297.1,3,60,193,14.1,8,22
gado-gado,asem-asem kangkung,ikan bandeng goreng,talam ubi,apel fuji,383.3,3,126,32,215,9.3,1
kering tempe,sambal goreng kentang,sayur siram bumbu tumis,talam nangka,markisa,381.4,3,221,114,14.1,4.3,28
tahu balado,terong bakar,tumis tahu kentang seledri,kue apem,bluberi,375,3,266,2,6,100,1
tuna bakar bumbu bali,ayam betutu,mie rebus tauge,getuk kacang hijau,tape singkong,331.5,3,19.2,251,35.3,19,7
tempe panggang,tumis pepaya muda,daun singkong bumbu iris,nanas,kue cucur,275,3,31,125,3,1,115
tempe panggang,iga bakar,mie hokian,rujak jeruk bali,duku,390.5,3,31,272,77.8,8.7,1
soto banjar,bakso aci,urab,pisang panggang saus kurma,buah delima,321.5,3,82,214,12,10.5,3
soto betawi,pepes bandeng presto,sayur siram bumbu tumis,jus melon,puding vanila,379.5,3,194,20.4,14.1,16,135
tempe bacem,telur puyuh bumbu kuning,pepes teri,rujak pepaya alpukat,bluberi,222.9,3,68,73.1,67,13.8,1
ayam rica-rica,tahu cabe garam,ayam panggang bumbu bacem,jus melon,sale pisang,381.7,3,238,40,26.7,16,61
ikan kembung balado,tumis buncis wortel bintik,tempe kukus cabe hijau,sari buah tropika,jus jeruk,317.5,3,277,26,7.5,6,1
soto bandung,tempe orek,tumis ikan tongkol,salak,jus semangka,363,3,132,209,19,2,1
semur jengkol,onigiri,terong goreng,susu murni,kue pancong,354,3,60,140,62,40,52
telur ceplok,sayur bunga pepaya,tumis kapri manis,buah naga,pastel,347.5,3,94,90,1.5,2,160
nasi kebuli,bening bayam tauge,gadon tahu jamur,pir,tahu walik,346.2,3,166,12.3,18.9,1,148
soto ayam,tumis pepaya muda,gadon tahu jamur,rambutan,onde-onde,320.9,3,87,125,18.9,10,80
kering tempe,sambal goreng kentang,kangkung bumbu kare,pisang,tape singkong,372.3,3,221,114,29.3,1,7
tumis pare,babat sapi,gulai ikan,jeruk,semangka,365,3,125,68,169,2,1
tempe masak wijen,tekwan,tahu siksa,jus mentimun jambu,jus alpukat,221.5,3,4.2,186,10.8,2.5,18
tempe panggang,karedok,ikan mujair pepes,pisang,pempek,274,3,31,127,58,1,57
telur orak-arik,babat sapi,tahu bumbu merah,jus mentimun jambu,ronde,292.8,3,211,68,5.3,2.5,6
semur jengkol,ayam penyet,daun singkong bumbu iris,apel,kue beras,361,3,60,288,3,1,9
soto daging,asem-asem kangkung,lodeh terong,kurma,kue beras,392,3,152,32,197,2,9
sayur pakis,telur puyuh bumbu kuning,ikan bakar bumbu kecap,talam ubi,kue bawang,249.9,3,1,73.1,99.5,9.3,67
semur jengkol,ikan panggang siram acar,gulai ikan,jus belimbing berembun,onde-onde,341.3,3,60,28.7,169,3.6,80
nasi ciprat,tahu cabe garam,kari daging domba,pisang,buah delima,264.2,3,10.2,40,210,1,3
telur ceplok,rendang,tumis tahu kentang seledri,stroberi,ronde,291,3,94,184,6,1,6
bubur kacang hijau,bening bayam tauge,bihun goreng,buah naga,susu kedelai,207.8,3,46,12.3,92.5,2,55
perkedel kentang,pecel lele,tumis ikan tongkol,talam ubi,kue pukis,377.3,3,204,48,19,9.3,97
pepes tongkol,pecel lele,ikan bakar bumbu kecap,salak,bubur sumsum,316.5,3,112,48,99.5,2,55
belut goreng,tahu cabe garam,tumis ikan tongkol,pepaya,buah delima,348,3,283,40,19,3,3
tumis pakcoy,asem-asem kangkung,pepes tongkol sambal dabu-dabu,salak,buah delima,283.8,3,220,32,26.8,2,3
kacang panjang bumbu kuning,tahu cabe garam,ikan baung bakar,kue tapioka,apel fuji,223.1,3,9.5,40,168,4.6,1
laksa palembang,bening bayam tauge,terong goreng,jus wortel tomat,cenil,363.3,3,240,12.3,62,19,30
sayur bening bayam,telur puyuh bumbu kuning,mie rebus tauge,jus mangga,nangka,275.4,3,162,73.1,35.3,2,3
tempe panggang,ayam masak merah,kangkung bumbu kare,pisang,apel fuji,344.3,3,31,282,29.3,1,1
bubur ketan hitam,bening bayam tauge,sandwich ikan tuna panggang,sup buah tropika,yogurt,299.4,3,77,12.3,153.2,36.9,20
nasi goreng tuna,garang asem ayam,daun singkong bumbu iris,jus jambu,jus jeruk,260.7,3,41.7,213,3,2,1
lontong sayur,ikan belanak goreng,oseng tahu tomat,mentimun serut,nangka,299,3,64,220,5.9,6.1,3
ayam rica-rica,ikan panggang siram acar,ayam kalasan,mangga,es krim,317.1,3,238,28.7,28.4,2,20
tumis kol,sambal goreng kentang,tempe kukus cabe hijau,melon,apel fuji,252.5,3,114,114,7.5,16,1
tahu balado,babat sapi,pecel,buah naga,ronde,365,3,266,68,23,2,6
telur dadar,tahu cabe garam,sambal udang,jus stroberi,sari apel,215,3,98,40,73,1,3
soto betawi,pepes bandeng presto,tumis tahu kentang seledri,pisang,apel fuji,222.4,3,194,20.4,6,1,1
rawon,tumis buncis wortel bintik,bihun goreng,apel,markisa,318.5,3,171,26,92.5,1,28
ayam suwir,babat sapi,saboko gurita,rambutan,semangka,341,3,62,68,200,10,1
ikan bawal goreng,rendang,sayur siram bumbu tumis,asinan bengkuang nanas,susu kedelai,343.7,3,85,184,14.1,5.6,55
nasi pecel,pecel lele,gulai ikan,jus pepaya kayu manis,kue nagasari,360.3,3,8,48,169,5.3,130
sayur pakis,ayam cincang buncis,tumis ikan tongkol,jeruk,sukun goreng,265,3,1,241,19,2,2
